iter	Logloss
0	0.6697728367
1	0.6431511363
2	0.6236649712
3	0.6043632484
4	0.5850578377
5	0.5679384906
6	0.5513654634
7	0.5351597074
8	0.519305088
9	0.5066973637
10	0.4935993298
11	0.4791012675
12	0.466429235
13	0.45614707
14	0.4460782515
15	0.4352528552
16	0.4260695074
17	0.4170267157
18	0.4095814869
19	0.4035571695
20	0.3959548812
21	0.3884726349
22	0.3818015707
23	0.3759456761
24	0.3707556134
25	0.3647675529
26	0.3596603532
27	0.353861391
28	0.3481721446
29	0.3429175893
30	0.3379451141
31	0.3341936647
32	0.3301278659
33	0.3255354314
34	0.3209784009
35	0.318616239
36	0.3147441023
37	0.3118355742
38	0.3083473275
39	0.3038250327
40	0.3005743574
41	0.298386957
42	0.2960903018
43	0.2928711583
44	0.2904224684
45	0.2879018409
46	0.2853686514
47	0.2825556176
48	0.2801332042
49	0.2774602423
50	0.274167663
51	0.272221038
52	0.2703132514
53	0.2684870602
54	0.2662613053
55	0.2645442997
56	0.2625920967
57	0.2609908228
58	0.2595290446
59	0.2575741218
60	0.2557892814
61	0.253865291
62	0.251586891
63	0.2500148669
64	0.248275388
65	0.246939322
66	0.2458194836
67	0.2446900797
68	0.2429794819
69	0.241770534
70	0.2400586915
71	0.2386793384
72	0.2373329462
73	0.2357578335
74	0.2340712533
75	0.2331168644
76	0.2313156358
77	0.2305381291
78	0.2294985492
79	0.2286134011
80	0.2273187551
81	0.2261873919
82	0.2246906015
83	0.2237120107
84	0.2221736389
85	0.2207737488
86	0.2199037673
87	0.2190684523
88	0.2176102468
89	0.216278445
90	0.2150408926
91	0.2142384693
92	0.2130552217
93	0.2118976051
94	0.2111672577
95	0.2103023932
96	0.209056059
97	0.2079629581
98	0.2069659046
99	0.2062996118
100	0.2055838086
101	0.2045284168
102	0.2035248172
103	0.2028087374
104	0.2020863882
105	0.2006065622
106	0.199957257
107	0.1990641798
108	0.1983114974
109	0.1976626301
110	0.196876595
111	0.1958592579
112	0.1950426822
113	0.1942993579
114	0.1935732746
115	0.1929348027
116	0.1920629542
117	0.1913370323
118	0.1907468951
119	0.1900411761
120	0.1893816945
121	0.1886739241
122	0.187961417
123	0.1872863078
124	0.1862792738
125	0.1857350744
126	0.1849388975
127	0.184056308
128	0.1834414618
