iter	Passed	Remaining
0	126	125930
1	135	67516
2	139	46506
3	146	36413
4	151	30131
5	155	25798
6	160	22826
7	164	20458
8	169	18645
9	173	17225
10	180	16226
11	185	15239
12	189	14424
13	195	13796
14	200	13170
15	204	12603
16	210	12163
17	214	11687
18	218	11304
19	225	11045
20	229	10703
21	234	10407
22	238	10143
23	243	9921
24	248	9687
25	252	9474
26	258	9315
27	263	9141
28	267	8964
29	273	8850
30	278	8709
31	283	8567
32	288	8465
33	293	8341
34	298	8234
35	304	8158
36	309	8059
37	314	7965
38	320	7897
39	326	7824
40	330	7738
41	336	7670
42	341	7599
43	346	7534
44	352	7484
45	357	7414
46	365	7416
47	374	7422
48	383	7446
49	390	7428
50	399	7440
51	408	7447
52	416	7440
53	424	7435
54	432	7431
55	439	7404
56	445	7375
57	451	7332
58	456	7287
59	463	7254
60	467	7200
61	472	7152
62	478	7110
63	483	7065
64	487	7015
65	493	6979
66	498	6943
67	503	6900
68	509	6872
69	514	6836
70	519	6790
71	524	6756
72	530	6735
73	535	6701
74	540	6670
75	545	6632
76	549	6592
77	554	6555
78	560	6530
79	564	6489
80	568	6455
81	575	6442
82	580	6410
83	584	6375
84	590	6355
85	595	6324
86	599	6294
87	606	6281
88	611	6258
89	615	6227
90	621	6204
91	625	6175
92	630	6144
93	635	6124
94	640	6102
95	644	6073
96	649	6047
97	655	6032
98	660	6011
99	665	5985
100	670	5971
101	675	5946
102	680	5925
103	686	5910
104	690	5886
105	694	5861
106	699	5840
107	704	5819
108	709	5796
109	713	5775
110	719	5760
111	723	5738
112	728	5718
113	734	5705
114	738	5685
115	743	5663
116	747	5639
117	752	5625
118	756	5603
119	761	5586
120	767	5573
121	771	5552
122	775	5530
123	780	5512
124	785	5495
125	789	5476
126	793	5457
127	798	5442
128	803	5422
129	807	5404
130	811	5383
131	816	5371
132	821	5355
133	827	5350
134	832	5335
135	837	5322
136	842	5307
137	848	5299
138	852	5283
139	857	5264
140	861	5251
141	866	5237
142	871	5222
143	875	5207
144	880	5194
145	885	5178
146	890	5164
147	895	5152
148	899	5137
149	903	5121
150	908	5107
151	913	5098
152	918	5084
153	923	5070
154	928	5061
155	933	5049
156	937	5035
157	942	5023
158	947	5010
159	951	4995
160	956	4982
161	961	4976
162	966	4960
163	970	4945
164	975	4934
165	979	4920
166	983	4905
167	987	4891
168	993	4884
169	998	4874
170	1003	4865
171	1009	4858
172	1014	4848
173	1019	4838
174	1024	4831
175	1029	4819
176	1034	4809
177	1039	4801
178	1044	4792
179	1049	4783
180	1055	4776
181	1060	4767
182	1065	4757
183	1070	4749
184	1076	4740
185	1081	4731
186	1086	4722
187	1091	4713
188	1096	4704
189	1101	4694
190	1106	4687
191	1111	4677
192	1115	4665
193	1121	4659
194	1126	4650
195	1130	4639
196	1136	4632
197	1141	4623
198	1146	4614
199	1151	4605
200	1156	4595
201	1160	4586
202	1166	4580
203	1171	4572
204	1176	4563
205	1182	4556
206	1187	4548
207	1191	4537
208	1203	4556
209	1218	4583
210	1224	4579
211	1231	4576
212	1238	4574
213	1244	4569
214	1251	4568
215	1257	4562
216	1263	4557
217	1268	4550
218	1273	4540
219	1278	4534
220	1284	4528
221	1291	4524
222	1296	4518
223	1301	4509
224	1306	4500
225	1311	4491
226	1315	4481
227	1319	4469
228	1324	4459
229	1330	4452
230	1334	4442
231	1338	4431
232	1343	4423
233	1348	4413
234	1352	4403
235	1357	4393
236	1363	4388
237	1367	4377
238	1371	4368
239	1376	4360
240	1380	4349
241	1385	4338
242	1389	4327
243	1394	4321
244	1399	4311
245	1403	4301
246	1408	4293
247	1412	4284
248	1417	4275
249	1421	4264
250	1426	4256
251	1430	4246
252	1435	4237
253	1440	4229
254	1445	4222
255	1449	4211
256	1453	4201
257	1458	4195
258	1463	4186
259	1467	4177
260	1472	4169
261	1476	4160
262	1481	4150
263	1485	4141
264	1490	4133
265	1494	4123
266	1498	4113
267	1502	4104
268	1508	4099
269	1513	4090
270	1517	4082
271	1522	4074
272	1526	4065
273	1531	4057
274	1536	4050
275	1541	4043
276	1546	4035
277	1550	4026
278	1556	4022
279	1560	4013
280	1564	4003
281	1570	3997
282	1575	3992
283	1580	3983
284	1585	3977
285	1590	3970
286	1594	3961
287	1598	3952
288	1603	3946
289	1607	3936
290	1612	3927
291	1617	3920
292	1621	3913
293	1626	3905
294	1630	3896
295	1635	3889
296	1639	3881
297	1644	3873
298	1648	3865
299	1654	3860
300	1658	3852
301	1662	3843
302	1668	3838
303	1672	3829
304	1677	3821
305	1681	3813
306	1686	3807
307	1690	3799
308	1695	3790
309	1700	3784
310	1704	3776
311	1709	3768
312	1713	3761
313	1718	3754
314	1722	3746
315	1727	3738
316	1732	3733
317	1737	3725
318	1741	3718
319	1747	3712
320	1751	3705
321	1756	3697
322	1760	3690
323	1766	3685
324	1770	3677
325	1774	3669
326	1780	3663
327	1784	3656
328	1789	3649
329	1794	3643
330	1799	3637
331	1804	3630
332	1808	3623
333	1814	3617
334	1818	3610
335	1823	3602
336	1828	3596
337	1833	3590
338	1837	3582
339	1841	3575
340	1847	3570
341	1852	3563
342	1856	3556
343	1861	3550
344	1865	3542
345	1870	3534
346	1875	3528
347	1880	3522
348	1884	3514
349	1888	3507
350	1893	3500
351	1898	3494
352	1902	3487
353	1907	3481
354	1911	3473
355	1916	3467
356	1921	3460
357	1926	3454
358	1930	3447
359	1935	3440
360	1941	3435
361	1945	3429
362	1950	3423
363	1955	3416
364	1960	3411
365	1965	3404
366	1969	3397
367	1975	3393
368	1980	3387
369	1985	3380
370	1990	3375
371	1995	3368
372	2000	3363
373	2005	3357
374	2010	3350
375	2014	3343
376	2018	3336
377	2024	3330
378	2028	3324
379	2033	3317
380	2038	3311
381	2043	3305
382	2047	3298
383	2052	3293
384	2057	3287
385	2062	3280
386	2066	3273
387	2072	3269
388	2077	3262
389	2081	3255
390	2086	3249
391	2091	3243
392	2095	3236
393	2100	3230
394	2105	3224
395	2109	3217
396	2113	3209
397	2119	3206
398	2125	3201
399	2131	3196
400	2136	3192
401	2142	3186
402	2146	3180
403	2152	3175
404	2157	3170
405	2163	3165
406	2170	3161
407	2175	3156
408	2180	3151
409	2187	3147
410	2191	3141
411	2196	3135
412	2202	3130
413	2206	3123
414	2211	3117
415	2217	3112
416	2222	3107
417	2227	3100
418	2233	3096
419	2237	3090
420	2242	3084
421	2249	3080
422	2254	3075
423	2259	3069
424	2266	3066
425	2271	3060
426	2276	3054
427	2282	3050
428	2288	3045
429	2293	3039
430	2299	3036
431	2304	3030
432	2310	3024
433	2315	3019
434	2320	3014
435	2325	3008
436	2331	3004
437	2336	2998
438	2342	2992
439	2347	2987
440	2351	2980
441	2356	2974
442	2362	2970
443	2366	2963
444	2371	2957
445	2378	2953
446	2382	2947
447	2387	2941
448	2392	2935
449	2397	2929
450	2402	2924
451	2407	2918
452	2413	2913
453	2417	2907
454	2423	2902
455	2429	2897
456	2434	2892
457	2439	2886
458	2445	2882
459	2450	2876
460	2455	2870
461	2460	2865
462	2465	2859
463	2471	2855
464	2476	2849
465	2481	2843
466	2486	2837
467	2491	2832
468	2496	2826
469	2500	2820
470	2506	2815
471	2511	2809
472	2516	2803
473	2523	2800
474	2527	2793
475	2532	2787
476	2538	2783
477	2543	2777
478	2547	2771
479	2554	2767
480	2559	2762
481	2564	2756
482	2570	2751
483	2575	2745
484	2580	2739
485	2586	2734
486	2590	2728
487	2595	2722
488	2600	2717
489	2605	2711
490	2609	2705
491	2614	2699
492	2619	2693
493	2624	2688
494	2629	2682
495	2636	2678
496	2640	2672
497	2645	2666
498	2651	2661
499	2655	2655
500	2660	2650
501	2666	2645
502	2671	2639
503	2676	2633
504	2681	2628
505	2686	2622
506	2691	2617
507	2697	2612
508	2703	2607
509	2707	2601
510	2712	2595
511	2717	2590
512	2723	2585
513	2727	2579
514	2733	2573
515	2738	2568
516	2743	2562
517	2749	2558
518	2754	2553
519	2759	2547
520	2766	2543
521	2770	2537
522	2776	2531
523	2781	2526
524	2785	2520
525	2790	2514
526	2796	2510
527	2801	2504
528	2806	2499
529	2813	2495
530	2819	2490
531	2824	2484
532	2829	2479
533	2834	2473
534	2839	2467
535	2845	2462
536	2849	2457
537	2854	2451
538	2859	2445
539	2864	2439
540	2868	2433
541	2874	2428
542	2879	2423
543	2884	2417
544	2889	2412
545	2894	2406
546	2899	2400
547	2903	2395
548	2909	2389
549	2913	2384
550	2918	2377
551	2922	2372
552	2927	2366
553	2932	2360
554	2936	2354
555	2941	2349
556	2946	2343
557	2951	2337
558	2956	2332
559	2960	2326
560	2965	2320
561	2970	2315
562	2975	2309
563	2980	2304
564	2985	2298
565	2991	2293
566	2996	2288
567	3001	2282
568	3007	2278
569	3012	2272
570	3016	2266
571	3022	2261
572	3027	2255
573	3031	2250
574	3037	2244
575	3041	2238
576	3045	2232
577	3050	2227
578	3055	2221
579	3059	2215
580	3065	2210
581	3070	2204
582	3074	2199
583	3079	2193
584	3085	2188
585	3090	2183
586	3095	2178
587	3101	2173
588	3106	2167
589	3111	2162
590	3116	2156
591	3122	2151
592	3126	2145
593	3131	2140
594	3136	2135
595	3141	2129
596	3145	2123
597	3151	2118
598	3155	2112
599	3160	2106
600	3165	2101
601	3170	2095
602	3174	2089
603	3179	2084
604	3184	2079
605	3189	2073
606	3194	2068
607	3200	2063
608	3205	2058
609	3210	2052
610	3215	2047
611	3220	2041
612	3224	2035
613	3230	2030
614	3234	2025
615	3239	2019
616	3244	2013
617	3249	2008
618	3254	2003
619	3258	1997
